Feature_ID;ENumLab;Feature;Value;Source;Comment
GB020;1;Are there definite or specific articles?;1;Huddleston and Pullum 2002: 368;The definite article is 'the.'
GB021;1;Do indefinite nominals commonly have indefinite articles?;1;Huddleston and Pullum 2002: 371;The indefinite article is 'a' or at times 'an'
GB022;1;Are there prenominal articles?;1;Huddleston and Pullum 2002: 368;
GB023;1;Are there postnominal articles?;0;Huddleston and Pullum 2002: 368-371;
GB024;12;What is the order of numeral and noun in the NP?;1;Huddleston and Pullum 2002: 363, 385-387;
GB025;2;What is the order of adnominal demonstrative and noun?;1;Huddleston and Pullum 2002: 373;
GB026;3;Can adnominal property words occur discontinuously?;0;Huddleston and Pullum 2002: 526-592;
GB027;11;Are nominal conjunction and comitative expressed by different elements?;1;Huddleston and Pullum 2002: 661, 1277;
GB028;6;Is there a distinction between inclusive and exclusive?;0;Huddleston and Pullum 2002: 426, 1467;
GB030;6;Is there a gender distinction in independent 3rd person pronouns?;1;Huddleston and Pullum 2002: 426;Masculine, feminine and neuter
GB031;6;Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?;0;Huddleston and Pullum 2002: 426;
GB035;2;Are there three or more distance contrasts in demonstratives?;0;Huddleston and Pullum 2002: 373, 1504-1506;
GB036;2;Do demonstratives show an elevation distinction?;0;Huddleston and Pullum 2002: 373, 1504-1506;
GB037;2;Do demonstratives show a visible-nonvisible distinction?;0;Huddleston and Pullum 2002: 373, 1504-1506;
GB038;2;Are there demonstrative classifiers?;0;Huddleston and Pullum 2002: 373, 1504-1506;
GB039;9;Is there nonphonological allomorphy of noun number markers?;1;Huddleston and Pullum 2002: 340, 1585, 1588-1594;Examples include (sg/pl): child/children, sheep/sheep, mouse/mice, woman/women
GB041;9;Are there several nouns (more than three) which are suppletive for number?;0;Huddleston and Pullum 2002: 329, 1589;Weak suppletion for 7 plural nouns only
GB042;9;Is there productive overt morphological singular marking on nouns?;0;Huddleston and Pullum 2002: 340, 1585;
GB043;9;Is there productive morphological dual marking on nouns?;0;Huddleston and Pullum 2002: 340, 1585;
GB044;9;Is there productive morphological plural marking on nouns?;1;Huddleston and Pullum 2002: 340, 1585;
GB046;9;Is there an associative plural marker for nouns?;0;Huddleston and Pullum 2002: 340, 1585;
GB047;23;Is there a productive morphological pattern for deriving an action/state noun from a verb?;1;Huddleston and Pullum 2002: 1579, 1700-1706;
GB048;23;Is there a productive morphological pattern for deriving an agent noun from a verb?;1;Huddleston and Pullum 2002: 1653, 1691-1692, 1697;"The agentive suffix ""-er"" among others"
GB049;23;Is there a productive morphological pattern for deriving an object noun from a verb?;1;Huddleston and Pullum 2002: 1679;There are object derivations such as 'cookie' from 'cook'
GB051;4;Is there a gender/noun class system where sex is a factor in class assignment?;0;Huddleston and Pullum 2002: 485, 1680-1683;There is no gender agreement between dependents and head noun, but personal pronouns and their antecedents can agree in sex within NP structure
